Round,Nickname,ELO
29,jmp6542,1567
29,pp0403,1450
29,sy5254,1523
30,Archyaki,1592
30,Monday_0907,1542
30,NV_Hyun,1587
30,NV_Sidereal,1584
30,Rlasx_o,1640
30,jmp6542,1554
30,pp0403,1425
30,sy5254,1509
31,Axaeny,1638
31,Breadu_gold,1560
31,Monday_0907,1567
31,andlecraft,1502
31,gukbab2,1724
31,jmp6542,1542
31,jupertvjuper,1650
31,sy5254,1496
32,Breadu_gold,1541
32,Monday_0907,1551
32,gukbab2,1741
32,jmp6542,1530
32,jupertvjuper,1667
32,sy5254,1513
33,Axaeny,1627
33,Breadu_gold,1522
33,LYCORIS_Takina,1571
33,Monday_0907,1536
33,amejingfrog,1528
33,gukbab2,1761
33,player_operlation,1408
33,sy5254,1533
34,0z139,1529
34,Axaeny,1615
34,Goyu92,1400
34,Monday_0907,1559
34,amejingfrog,1555
34,gukbab2,1783
34,player_operlation,1390
34,sy5254,1521
35,Axaeny,1633
35,Goyu92,1431
35,Y_ee111,1524
35,gukbab2,1774
35,jupertvjuper,1654
35,mason1772mm,1586
35,player_operlation,1373
35,sy5254,1509
36,Axaeny,1654
36,Goyu92,1406
36,Y_ee111,1552
36,gukbab2,1765
36,jupertvjuper,1641
36,mason1772mm,1608
36,player_operlation,1397
36,sy5254,1498
37,Goyu92,1386
37,Monday_0907,1544
37,S1_7sConfLit,1506
37,gukbab2,1780
37,jupertvjuper,1629
37,mason1772mm,1595
37,padosol,1481
37,sy5254,1513
38,Monday_0907,1565
38,S1_7sConfLit,1481
38,gukbab2,1796
38,jupertvjuper,1648
38,padosol,1456
38,sy5254,1502
39,Monday_0907,1584
39,S1_7sConfLit,1456
39,gukbab2,1809
39,jupertvjuper,1666
39,padosol,1437
39,sy5254,1492
40,Monday_0907,1605
40,S1_7sConfLit,1437
40,gukbab2,1829
40,padosol,1418
40,sy5254,1481
41,Axaeny,1644
41,Monday_0907,1629
41,NSR_Scott,1530
41,Y_ee111,1577
41,ahsb37,1475
41,hanjo101,1475
41,jupertvjuper,1682
41,mason1772mm,1583
41,sy5254,1499
41,ytuuews,1475
42,Axaeny,1663
42,Monday_0907,1616
42,NSR_Scott,1506
42,Vir_Spica,1527
42,Y_ee111,1552
42,ahsb37,1450
42,hanjo101,1504
42,mason1772mm,1610
42,sy5254,1489
42,ytuuews,1501
43,Axaeny,1654
43,Monday_0907,1641
43,NSR_Scott,1537
43,Vir_Spica,1503
43,Y_ee111,1580
43,ahsb37,1475
43,hanjo101,1479
43,jmp6542,1549
43,mason1772mm,1601
43,ytuuews,1476
44,LYCORIS_Takina,1555
44,Re_9LEAVER,1528
44,S1_7sConfLit,1460
44,padosol,1441
44,sy5254,1479
44,tony1_021,1475
45,LYCORIS_Takina,1576
45,Re_9LEAVER,1503
45,jupertvjuper,1671
45,padosol,1424
45,sy5254,1494
45,tony1_021,1504
46,Archyaki,1568
46,Bluearchive_Arisu,1513
46,LYCORIS_Takina,1602
46,Monday_0907,1663
46,Rlasx_o,1622
46,Y_ee111,1555
46,deadant_leo,1527
46,jupertvjuper,1661
46,mason1772mm,1625
46,sy5254,1510
47,Archyaki,1544
47,Bluearchive_Arisu,1532
47,LYCORIS_Takina,1627
47,Monday_0907,1686
47,Rlasx_o,1604
47,Y_ee111,1536
47,deadant_leo,1552
47,jupertvjuper,1651
47,mason1772mm,1648
47,sy5254,1501
48,Archyaki,1576
48,Bluearchive_Arisu,1516
48,LYCORIS_Takina,1612
48,Monday_0907,1675
48,Rlasx_o,1622
48,Y_ee111,1518
48,deadant_leo,1526
48,jupertvjuper,1669
48,mason1772mm,1667
48,sy5254,1517
49,Archyaki,1557
49,Axaeny,1669
49,Monday_0907,1664
49,Rlasx_o,1605
49,bond0822,1535
49,jmp6542,1537
49,jupertvjuper,1684
49,mason1772mm,1688
49,padosol,1407
49,sy5254,1528
50,Archyaki,1584
50,Axaeny,1660
50,Monday_0907,1683
50,Rlasx_o,1589
50,jmp6542,1555
50,mason1772mm,1677
50,padosol,1391
50,sy5254,1544
51,Archyaki,1612
51,LYCORIS_Takina,1598
51,NV_Sidereal,1616
51,Rlasx_o,1609
51,jmp6542,1575
51,jupertvjuper,1674
51,mason1772mm,1666
51,minjae65412,1479
51,remiaos,1475
51,sy5254,1535
52,Archyaki,1596
52,Axaeny,1675
52,NV_Sidereal,1592
52,Rlasx_o,1594
52,jmp6542,1564
52,jupertvjuper,1690
52,mason1772mm,1686
52,minjae65412,1454
52,remiaos,1499
52,sy5254,1549
53,Archyaki,1620
53,Axaeny,1666
53,GLC_noname,1475
53,NV_Sidereal,1623
53,jmp6542,1582
53,kesnnd,1526
53,mason1772mm,1677
53,minjae65412,1479
53,remiaos,1474
53,sy5254,1541
54,Axaeny,1683
54,Kapippalist,1475
54,LYCORIS_Takina,1619
54,Monday_0907,1704
54,TOM245111,1499
54,gukbab2,1821
54,jmp6542,1572
54,jupertvjuper,1681
54,sy5254,1554
54,ulchan,1475
55,TOM245111,1474
55,gukbab2,1839
55,jmp6542,1563
55,jupertvjuper,1698
55,nasoilee5,1524
55,sy5254,1546
56,Axaeny,1674
56,Kapippalist,1504
56,LYCORIS_Takina,1606
56,TOM245111,1449
56,bond0822,1565
56,gukbab2,1857
56,jmp6542,1579
56,nasoilee5,1499
56,sijrvs234,1526
56,sy5254,1538
57,Axaeny,1690
57,Kapippalist,1479
57,LYCORIS_Takina,1627
57,Monday_0907,1725
57,TOM245111,1473
57,gukbab2,1850
57,jmp6542,1570
57,jupertvjuper,1689
57,sy5254,1551
57,ulchan,1450
58,Axaeny,1682
58,Bluearchive_Arisu,1534
58,Kapippalist,1454
58,LYCORIS_Takina,1645
58,Monday_0907,1715
58,jmp6542,1584
58,qqpqqpqqqq,1475
58,sy5254,1565
59,Axaeny,1701
59,Bluearchive_Arisu,1519
59,Kapippalist,1482
59,LYCORIS_Takina,1665
59,Monday_0907,1734
59,jmp6542,1575
59,qqpqqpqqqq,1450
59,sy5254,1557
60,Axaeny,1694
60,Bluearchive_Arisu,1536
60,Kapippalist,1457
60,LYCORIS_Takina,1685
60,Monday_0907,1725
60,jmp6542,1587
60,qqpqqpqqqq,1425
60,sy5254,1571
61,Kapippalist,1438
61,LYCORIS_Takina,1704
61,amyee2,1532
61,jupertvjuper,1681
61,kevincyo_0808,1479
61,mason1772mm,1668
61,nasoilee5,1525
61,sijrvs234,1501
61,sugolem,1527
61,sy5254,1586
62,Axaeny,1686
62,Kapippalist,1462
62,jupertvjuper,1698
62,kevincyo_0808,1503
62,mason1772mm,1688
62,nasoilee5,1500
62,pp0403,1400
62,sijrvs234,1525
62,sugolem,1501
62,sy5254,1579
63,Axaeny,1701
63,Bluearchive_Arisu,1522
63,Kapippalist,1484
63,LYCORIS_Takina,1693
63,dot1com,1541
63,jmp6542,1579
63,kevincyo_0808,1527
63,mason1772mm,1705
63,pp0403,1375
63,sy5254,1572
64,Axaeny,1716
64,Bluearchive_Arisu,1508
64,Delicious_Onion,1528
64,Kapippalist,1506
64,LYCORIS_Takina,1682
64,dot1com,1572
64,jmp6542,1570
64,mason1772mm,1724
64,pp0403,1350
64,sy5254,1565
65,Archyaki,1605
65,Axaeny,1728
65,Monday_0907,1716
65,Rlasx_o,1579
65,bond0822,1594
65,jmp6542,1561
65,jupertvjuper,1711
65,mason1772mm,1743
65,padosol,1375
65,sy5254,1574
66,Archyaki,1629
66,Axaeny,1721
66,Monday_0907,1733
66,Rlasx_o,1565
66,jmp6542,1576
66,mason1772mm,1734
66,padosol,1360
66,sy5254,1588
67,Archyaki,1651
67,Axaeny,1714
67,Monday_0907,1724
67,dot1com,1548
67,jmp6542,1590
67,mason1772mm,1751
67,nasoilee5,1525
67,sy5254,1581
68,Archyaki,1673
68,Axaeny,1707
68,Kapippalist,1524
68,NV_Sidereal,1647
68,Rlasx_o,1582
68,Vir_Spica,1478
68,gukbab2,1843
68,sy5254,1575
69,Archyaki,1660
69,Axaeny,1721
69,Kapippalist,1508
69,LYCORIS_Takina,1700
69,Monday_0907,1744
69,NV_Hyun,1563
69,NV_Sidereal,1629
69,Rlasx_o,1569
69,gukbab2,1857
69,sy5254,1588
70,Archyaki,1647
70,Axaeny,1734
70,Kapippalist,1492
70,LYCORIS_Takina,1714
70,Monday_0907,1758
70,NV_Hyun,1538
70,NV_Sidereal,1612
70,Rlasx_o,1556
70,gukbab2,1871
70,sy5254,1598
71,Archyaki,1635
71,Axaeny,1745
71,LYCORIS_Takina,1729
71,Monday_0907,1773
71,NV_Hyun,1513
71,NV_Sidereal,1595
71,Rlasx_o,1543
71,TOM245111,1448
71,gukbab2,1884
71,sy5254,1608
72,Archyaki,1623
72,Axaeny,1758
72,LYCORIS_Takina,1744
72,Monday_0907,1787
72,NV_Hyun,1494
72,NV_Sidereal,1579
72,Rlasx_o,1531
72,TOM245111,1429
72,gukbab2,1897
72,sy5254,1618
73,Archyaki,1612
73,Axaeny,1771
73,Monday_0907,1803
73,NV_Sidereal,1563
73,Rlasx_o,1519
73,TOM245111,1410
73,gukbab2,1913
73,sy5254,1631
74,Archyaki,1634
74,Axaeny,1784
74,NV_Hyun,1476
74,NV_Sidereal,1584
74,TOM245111,1429
74,gukbab2,1906
74,jupertvjuper,1702
74,sy5254,1625
75,Archyaki,1623
75,Axaeny,1778
75,NV_Hyun,1459
75,NV_Sidereal,1569
75,TOM245111,1411
75,gukbab2,1922
75,jmp6542,1605
75,jupertvjuper,1716
75,mason1772mm,1767
75,sy5254,1636
76,Archyaki,1643
76,Axaeny,1772
76,NV_Grav,1475
76,RPT_RAMP,1529
76,Rlasx_o,1536
76,TOM245111,1394
76,gukbab2,1937
76,kevincyo_0808,1556
76,mason1772mm,1759
76,sy5254,1630
77,Axaeny,1766
77,Monday_0907,1818
77,NV_Grav,1450
77,RPT_RAMP,1562
77,Rlasx_o,1524
77,Ts0_6,1527
77,gukbab2,1952
77,kevincyo_0808,1537
77,mason1772mm,1752
77,sy5254,1642
78,Archyaki,1661
78,Axaeny,1779
78,Monday_0907,1836
78,RPT_RAMP,1538
78,Rlasx_o,1513
78,Ts0_6,1553
78,gukbab2,1967
78,kevincyo_0808,1518
78,mason1772mm,1744
78,sy5254,1636
79,Archyaki,1651
79,Axaeny,1774
79,Breadu_gold,1543
79,Monday_0907,1856
79,NV_Grav,1425
79,Y_ee111,1500
79,gukbab2,1980
79,jupertvjuper,1735
79,mason1772mm,1736
79,sy5254,1647
80,Axaeny,1787
80,Breadu_gold,1526
80,Monday_0907,1871
80,Ts0_6,1579
80,gukbab2,1974
80,jmp6542,1596
80,plmyo00,1475
80,sy5254,1658
81,Axaeny,1781
81,Bluearchive_Arisu,1526
81,Breadu_gold,1509
81,Ts0_6,1554
81,gukbab2,1989
81,jmp6542,1610
81,plmyo00,1502
81,sy5254,1653
