Round,Nickname,Team,Kills,Deaths,Winning Team,Map
77,Ts0_6,2,26,43,2,desert
78,RPT_RAMP,1,54,44,2,metro
78,mason1772mm,1,46,36,2,metro
78,sy5254,1,40,43,2,metro
78,Rlasx_o,1,29,36,2,metro
78,kevincyo_0808,1,20,42,2,metro
78,Monday_0907,2,59,25,2,metro
78,gukbab2,2,55,35,2,metro
78,Archyaki,2,48,34,2,metro
78,Axaeny,2,46,28,2,metro
78,Ts0_6,2,21,35,2,metro
79,Monday_0907,1,72,31,1,elevation
79,gukbab2,1,49,46,1,elevation
79,jupertvjuper,1,65,34,1,elevation
79,sy5254,1,42,45,1,elevation
79,Breadu_gold,1,35,49,1,elevation
79,Axaeny,2,67,42,1,elevation
79,mason1772mm,2,49,39,1,elevation
79,Archyaki,2,58,50,1,elevation
79,Y_ee111,2,30,46,1,elevation
79,NV_Grav,2,29,42,1,elevation
80,gukbab2,1,34,19,2,desert
80,plmyo00,1,27,26,2,desert
80,Breadu_gold,1,24,37,2,desert
80,jmp6542,1,18,35,2,desert
80,Monday_0907,2,42,15,2,desert
80,Axaeny,2,41,21,2,desert
80,sy5254,2,34,22,2,desert
80,Ts0_6,2,18,35,2,desert
81,gukbab2,1,58,34,1,warehouse
81,jmp6542,1,41,28,1,warehouse
81,Bluearchive_Arisu,1,31,16,1,warehouse
81,plmyo00,1,23,28,1,warehouse
81,Axaeny,2,43,24,1,warehouse
81,sy5254,2,42,34,1,warehouse
81,Breadu_gold,2,27,34,1,warehouse
81,Ts0_6,2,16,40,1,warehouse
